Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
PUF60	1	1	0.02118816	8
PUM1	1	1	0.379789732	1
PUM2	1	1	0.30231866	2
PURA	1	1	0.298647354	5
PURB	1	1	0.364328245	7
PURG	1	1	0.346559057	8
PUS1	1	1	0.044562784	12
PUS10	1	1	0.138215969	2
PUS3	1	1	0.317519645	11
PUS7L	1	1	0.007547937	12
PUSL1	1	1	0.065510246	1
PVALB	1	1	0.244078476	22
PVR	1	1	0.024177717	19
PVRIG	1	1	0.151857878	7
PVRL1	1	1	0.331790391	11
PVRL2	1	1	0.099234134	19
PVRL3	1	1	0.128362674	3
PVRL4	1	1	0.032894897	1
PWP1	1	1	0.218971611	12
PWP2	1	1	0.111811464	21
PWWP2A	1	1	0.025264324	5
PWWP2B	1	1	0.066449061	10
PXDC1	1	1	0.050923627	6
PXDN	1	1	0.025941938	2
PXDNL	1	1	0.016954007	8
PXMP4	1	1	0.049730213	20
PXN	1	1	0.014330167	12
PXT1	1	1	0.097599496	6
PYCR1	1	1	0.011630032	17
PYCR2	1	1	0.024551683	1
PYCRL	1	1	0.014722169	8
PYDC1	1	1	0.045239633	16
PYDC2	1	1	0.00563846	3
PYGB	1	1	0.104894465	20
PYGL	1	1	0.139469121	14
PYGM	1	1	0.157187859	11
PYGO1	1	1	0.282412012	15
PYHIN1	1	1	0.019318382	1
PYROXD1	1	1	0.013405078	12
PYROXD2	1	1	0.57488447	10
PYY	1	1	0.143209605	17
PZP	1	1	0.004800788	12
Q6AI01_HUMAN	1	1	0.294883877	15
Q86U89_HUMAN	1	1	0.482686262	8
Q8NAP4_HUMAN	1	1	0.280538058	3
Q96K91_HUMAN	1	1	0.25288428	7
Q9BSM8_HUMAN	1	1	0.5214589	19
QARS	1	1	0.027412747	3
QDPR	1	1	0.158362542	4
QPCT	1	1	0.151661166	2
QPCTL	1	1	0.086664858	19
QPRT	1	1	0.055113127	16
QRFP	1	1	0.131274499	9
QRFPR	1	1	0.156243257	4
QRICH1	1	1	0.095216475	3
QRICH2	1	1	0.02736087	17
QRSL1	1	1	0.016604217	6
QSOX1	1	1	0.003866656	1
QSOX2	1	1	0.145619291	9
QTRT1	1	1	0.105583941	19
QTRTD1	1	1	0.022143941	3
R3HCC1	1	1	0.193311382	8
R3HDM1	1	1	0.272601502	2
R3HDM2	1	1	0.006377144	12
R3HDM4	1	1	0.167838699	19
R3HDML	1	1	0.021995157	20
RAB10	1	1	0.074588307	2
RAB11A	1	1	0.24296475	15
RAB11B	1	1	0.387778109	19
RAB11FIP1	1	1	0.055190151	8
RAB11FIP2	1	1	0.461974396	10
RAB11FIP3	1	1	0.157605525	16
RAB11FIP4	1	1	0.231279837	17
RAB11FIP5	1	1	0.148139176	2
RAB12	1	1	0.060796517	18
RAB13	1	1	0.036426574	1
RAB14	1	1	0.523260894	9
RAB15	1	1	0.417988334	14
RAB17	1	1	0.072772887	2
RAB18	1	1	0.547320521	10
RAB19	1	1	0.027408261	7
RAB1A	1	1	0.438391218	2
RAB1B	1	1	0.113629604	11
RAB20	1	1	0.056034918	13
RAB21	1	1	0.277303768	12
RAB23	1	1	0.06226584	6
RAB24	1	1	0.072634396	5
RAB25	1	1	0.036033426	1
RAB26	1	1	0.084049481	16
RAB27A	1	1	0.109075154	15
RAB27B	1	1	0.395573431	18
RAB28	1	1	0.313066785	4
RAB2A	1	1	0.146975624	8
RAB2B	1	1	0.102353408	14
RAB30	1	1	0.08076625	11
RAB32	1	1	0.580142606	6
RAB33A	1	1	0.02046036	X
RAB33B	1	1	0.224731255	4
RAB35	1	1	0.129686606	12
RAB36	1	1	0.188900184	22
RAB37	1	1	0.073931088	17
RAB38	1	1	0.03065883	11
RAB39A	1	1	0.050133529	11
RAB39B	1	1	0.027886458	X
RAB3A	1	1	0.151802187	19
RAB3B	1	1	0.179257577	1
RAB3C	1	1	0.034566281	5
RAB3D	1	1	0.016096274	19
RAB3GAP1	1	1	0.491165318	2
RAB3GAP2	1	1	0.038226021	1
RAB3IL1	1	1	0.503678845	11
RAB3IP	1	1	0.010361987	12
RAB40A	1	1	0.251584826	X
RAB40AL	1	1	0.086155357	X
RAB40B	1	1	0.442459944	17
RAB41	1	1	0.020405824	X
RAB42	1	1	0.156829222	1
RAB43	1	1	0.034058146	3
RAB4A	1	1	0.014430027	1
RAB4B	1	1	0.027621453	19
RAB5A	1	1	0.358518944	3
RAB5B	1	1	0.033989036	12
RAB5C	1	1	0.430834138	17
RAB6B	1	1	0.118294695	3
RAB6C	1	1	0.102054744	2
RAB7A	1	1	0.081363883	3
RAB7L1	1	1	0.148728589	1
RAB8A	1	1	0.10775497	19
RAB8B	1	1	0.330080208	15
RAB9A	1	1	0.030208191	X
RAB9B	1	1	0.238953583	X
RABEP1	1	1	0.402524409	17
RABEPK	1	1	0.01799668	9
RABGAP1	1	1	0.583574587	9
RABGAP1L	1	1	0.166591941	1
RABGEF1	1	1	0.067605391	7
RABGGTA	1	1	0.040023654	14
RABIF	1	1	0.043928584	1
RABL2A	1	1	0.354726257	2
RABL2B	1	1	0.192640481	22
RABL3	1	1	0.036778965	3
RABL5	1	1	0.063687058	7
RAC1	1	1	0.013907748	7
RAC2	1	1	0.27925826	22
RAC3	1	1	0.11176049	17
RACGAP1	1	1	0.43347696	12
RAD1	1	1	0.303678234	5
RAD17	1	1	0.157847847	5
RAD18	1	1	0.582674913	3
RAD21L1	1	1	0.069813506	20
RAD23A	1	1	0.130425047	19
RAD23B	1	1	0.400118266	9
RAD50	1	1	0.07211265	5
RAD51	1	1	0.341714709	15
RAD51AP1	1	1	0.028008631	12
RAD51AP2	1	1	0.0509587	2
RAD51B	1	1	0.095000294	14
RAD51C	1	1	0.28800846	17
RAD51D	1	1	0.103558914	3
RAD52	1	1	0.031048796	12
RAD54L	1	1	0.137974586	1
RAD54L2	1	1	0.354782834	3
RAD9A	1	1	0.146409323	11
RADIL	1	1	0.052179843	7
RAE1	1	1	0.015207589	20
RAET1E	1	1	0.268221766	6
RAET1G	1	1	0.05386397	6
RAET1L	1	1	0.047837205	6
RAF1	1	1	0.009710125	3
RAG1	1	1	0.076568838	11
RAG2	1	1	0.022773578	11
RAI2	1	1	0.14450635	X
RALA	1	1	0.328493164	7
RALB	1	1	0.086339783	2
RALBP1	1	1	0.142763196	18
RALGAPA2	1	1	0.140365942	20
RALGDS	1	1	0.14874648	9
RALGPS1	1	1	0.152515664	9
RALGPS2	1	1	0.083740831	1
RALY	1	1	0.020010686	20
RALYL	1	1	0.013547809	8
RAMP1	1	1	0.124403702	2
RAMP2	1	1	0.213543084	17
RAMP3	1	1	0.028864676	7
RANBP1	1	1	0.356522804	22
RANBP10	1	1	0.237982572	16
RANBP17	1	1	0.015688394	5
RANBP2	1	1	0.174870515	2
RANBP3	1	1	0.106268512	19
RANBP6	1	1	0.081139893	9
RANBP9	1	1	0.013610808	6
RANGAP1	1	1	0.103013901	22
RANGRF	1	1	0.070525436	17
RAP1A	1	1	0.261751669	1
RAP1B	1	1	0.041201325	12
RAP1GAP	1	1	0.066477945	1
RAP1GAP2	1	1	0.045671783	17
RAP1GDS1	1	1	0.221549201	4
RAP2A	1	1	0.16531633	13
RAP2B	1	1	0.045396314	3
RAP2C	1	1	0.043521749	X
RAPGEF1	1	1	0.103325836	9
RAPGEF2	1	1	0.222955572	4
RAPGEF3	1	1	0.405950923	12
RAPGEF4	1	1	0.205167047	2
RAPGEF5	1	1	0.030909398	7
RAPGEFL1	1	1	0.040945235	17
RAPH1	1	1	0.234001975	2
RAPSN	1	1	0.258510052	11
RARA	1	1	0.01392972	17
RARB	1	1	0.416083819	3
RARG	1	1	0.206023535	12
RARRES1	1	1	0.126764746	3
RARRES3	1	1	0.034382624	11
RARS	1	1	0.011178428	5
RARS2	1	1	0.173108905	6
RASA3	1	1	0.253702925	13
RASAL1	1	1	0.276303221	12
RASAL3	1	1	0.209386672	19
RASD1	1	1	0.136844127	17
RASD2	1	1	0.191796121	22
RASEF	1	1	0.276320051	9
RASGEF1A	1	1	0.025294702	10
RASGEF1B	1	1	0.226984332	4
RASGEF1C	1	1	0.009915667	5
RASGRF1	1	1	0.044639501	15
RASGRF2	1	1	0.042973118	5
RASGRP1	1	1	0.646201931	15
RASGRP2	1	1	0.103531375	11
RASGRP3	1	1	0.197829846	2
RASGRP4	1	1	0.025764971	19
RASIP1	1	1	0.116085484	19
RASL10A	1	1	0.215286257	22
RASL10B	1	1	0.036560532	17
RASL11A	1	1	0.130950081	13
RASL11B	1	1	0.054519647	4
RASL12	1	1	0.317263319	15
RASSF1	1	1	0.121521088	3
RASSF10	1	1	0.109388296	11
RASSF2	1	1	0.091077285	20
RASSF3	1	1	0.064279905	12
RASSF4	1	1	0.142135508	10
RASSF5	1	1	0.043314052	1
RASSF6	1	1	0.343789977	4
RASSF8	1	1	0.033253165	12
RASSF9	1	1	0.3762964	12
RAVER2	1	1	0.01934714	1
RAX	1	1	0.220148775	18
RAX2	1	1	0.468735032	19
RB1CC1	1	1	0.238633418	8
RBAK	1	1	0.014707033	7
RBBP4	1	1	0.034367289	1
RBBP5	1	1	0.085601042	1
RBBP7	1	1	0.143859405	X
RBBP8	1	1	0.203353985	18
RBBP8NL	1	1	0.226605111	20
RBBP9	1	1	0.051513398	20
RBCK1	1	1	0.098088604	20
RBFA	1	1	0.036025904	18
RBFOX1	1	1	0.00281692	16
RBL1	1	1	0.019191931	20
RBM12	1	1	0.013670849	20
RBM12B	1	1	0.041970132	8
RBM14	1	1	0.032285725	11
RBM17	1	1	0.089982699	10
RBM18	1	1	0.161769251	9
RBM19	1	1	0.061060492	12
RBM20	1	1	0.047259897	10
RBM22	1	1	0.179066396	5
RBM23	1	1	0.040239156	14
RBM24	1	1	0.035649437	6
RBM25	1	1	0.450056332	14
RBM28	1	1	0.078309123	7
RBM3	1	1	0.307074752	X
RBM33	1	1	0.071927191	7
RBM34	1	1	0.207573039	1
RBM38	1	1	0.016546211	20
RBM39	1	1	0.050646044	20
RBM4	1	1	0.010535729	11
RBM41	1	1	0.290698667	X
RBM42	1	1	0.049191937	19
RBM43	1	1	0.530857981	2
RBM44	1	1	0.271287905	2
RBM45	1	1	0.263541583	2
RBM48	1	1	0.041256056	7
RBM4B	1	1	0.050107903	11
RBM6	1	1	0.631629026	3
RBM7	1	1	0.198269996	11
RBM8A	1	1	0.056261028	1
RBMS1	1	1	0.394431665	2
RBMS2	1	1	0.249982278	12
RBMS3	1	1	0.182583618	3
RBMX2	1	1	0.036934513	X
RBMXL2	1	1	0.074199853	11
RBMXL3	1	1	0.019553406	X
RBP1	1	1	0.020282381	3
RBP2	1	1	0.248817082	3
RBP3	1	1	0.024205464	10
RBP4	1	1	0.411846328	10
RBP5	1	1	0.185059779	12
RBP7	1	1	0.17894921	1
RBPJ	1	1	0.296750702	4
RBPJL	1	1	0.071591047	20
RBPMS	1	1	0.082286932	8
RBPMS2	1	1	0.243573005	15
RC3H1	1	1	0.044031343	1
RCAN1	1	1	0.096006182	21
RCAN2	1	1	0.139938554	6
RCAN3	1	1	0.557778394	1
RCBTB1	1	1	0.083661572	13
RCBTB2	1	1	0.123637279	13
RCC1	1	1	0.373173587	1
RCCD1	1	1	0.082105753	15
RCHY1	1	1	0.249651678	4
RCL1	1	1	0.029227801	9
RCN1	1	1	0.024350854	11
RCN2	1	1	0.179851162	15
RCN3	1	1	0.05389971	19
RCOR2	1	1	0.186089778	11
RCOR3	1	1	0.044934953	1
RCSD1	1	1	0.018734603	1
RCVRN	1	1	0.039828218	17
RD3	1	1	0.010241064	1
RDH10	1	1	0.027776152	8
RDH11	1	1	0.245097493	14
RDH12	1	1	0.030796543	14
RDH13	1	1	0.117300639	19
RDH14	1	1	0.10578453	2
RDH16	1	1	0.129836512	12
RDH8	1	1	0.016704313	19
RDM1	1	1	0.148735626	17
RDX	1	1	0.054394079	11
REC8	1	1	0.183654149	14
RECQL	1	1	0.037611939	12
RECQL4	1	1	0.036335434	8
RECQL5	1	1	0.020277609	17
REEP1	1	1	0.038479154	2
REEP2	1	1	0.03902831	5
REEP4	1	1	0.290167681	8
REEP5	1	1	0.082004586	5
REEP6	1	1	0.252243489	19
REG1A	1	1	0.047245921	2
REG1B	1	1	0.095213897	2
REG3A	1	1	0.039801218	2
REG3G	1	1	0.42957819	2
REG4	1	1	0.197176299	1
REL	1	1	0.17245217	2
RELA	1	1	0.256434175	11
RELB	1	1	0.081906337	19
RELL1	1	1	0.16321742	4
RELL2	1	1	0.11646066	5
RELN	1	1	0.05327978	7
RELT	1	1	0.015101265	11
REM2	1	1	0.044577993	14
REN	1	1	0.00875714	1
RENBP	1	1	0.131672335	X
REP15	1	1	0.253377531	12
REPIN1	1	1	0.154613863	7
RER1	1	1	0.23256585	1
RERG	1	1	0.329797331	12
RERGL	1	1	0.033010259	12
RESP18	1	1	0.197803681	2
REST	1	1	0.065268841	4
RET	1	1	0.045879258	10
RETN	1	1	0.211968599	19
RETNLB	1	1	0.175474139	3
RETSAT	1	1	0.272258076	2
REV1	1	1	0.096059557	2
REXO1	1	1	0.058943848	19
REXO2	1	1	0.256501874	11
REXO4	1	1	0.068644359	9
RFC1	1	1	0.053673973	4
RFC2	1	1	0.023024354	7
RFC3	1	1	0.538300472	13
RFC4	1	1	0.078448071	3
RFC5	1	1	0.287589735	12
RFESD	1	1	0.646723957	5
RFFL	1	1	0.121631996	17
RFK	1	1	0.560856551	9
RFNG	1	1	0.053013642	17
RFPL1	1	1	0.010972241	22
RFPL2	1	1	0.163784339	22
RFPL3	1	1	0.299179255	22
RFPL4A	1	1	0.097960906	19
RFPL4B	1	1	0.229103165	6
RFT1	1	1	0.231515958	3
RFTN1	1	1	0.463741794	3
RFTN2	1	1	0.179682729	2
RFWD2	1	1	0.162315094	1
RFWD3	1	1	0.550776854	16
RFX1	1	1	0.05002695	19
RFX2	1	1	0.06102739	19
RFX3	1	1	0.041178893	9
RFX4	1	1	0.366002216	12
RFX6	1	1	0.072115793	6
RFX8	1	1	0.186203813	2
RFXANK	1	1	0.076148133	19
RGAG1	1	1	0.078634121	X
RGAG4	1	1	0.062024192	X
RGL1	1	1	0.007676488	1
RGL2	1	1	0.035863628	6
RGL3	1	1	0.172491138	19
RGL4	1	1	0.225444384	22
RGMA	1	1	0.026432245	15
RGMB	1	1	0.114372323	5
RGN	1	1	0.258583957	X
RGP1	1	1	0.037706749	9
RGPD2	1	1	0.290177456	2
RGPD5	1	1	0.24986274	2
RGR	1	1	0.071773151	10
RGS1	1	1	0.145233356	1
RGS10	1	1	0.273266746	10
RGS11	1	1	0.044714392	16
RGS13	1	1	0.071203348	1
RGS14	1	1	0.034266194	5
RGS16	1	1	0.110213545	1
RGS17	1	1	0.175241129	6
RGS18	1	1	0.438072931	1
RGS19	1	1	0.015280374	20
RGS2	1	1	0.4561788	1
RGS20	1	1	0.011788819	8
RGS21	1	1	0.048379224	1
RGS3	1	1	0.232873224	9
RGS4	1	1	0.446675259	1
RGS5	1	1	0.050319881	1
RGS6	1	1	0.060537575	14
RGS7	1	1	0.17060685	1
RGS7BP	1	1	0.273704333	5
RGS8	1	1	0.140583425	1
RGS9	1	1	0.12705015	17
RGS9BP	1	1	0.033320516	19
RGSL1	1	1	0.019663663	1
RHAG	1	1	0.096201978	6
RHBDD1	1	1	0.113912603	2
RHBDD2	1	1	0.016569716	7
RHBDD3	1	1	0.080507916	22
RHBDF1	1	1	0.027355018	16
RHBDF2	1	1	0.118697206	17
RHBDL1	1	1	0.047391079	16
RHBDL2	1	1	0.047852988	1
RHBG	1	1	0.114273152	1
RHCE	1	1	0.178941648	1
RHCG	1	1	0.03351281	15
RHD	1	1	0.196630244	1
RHEB	1	1	0.058872145	7
RHEBL1	1	1	0.437254202	12
RHO	1	1	0.034135148	3
RHOA	1	1	0.013847596	3
RHOB	1	1	0.061676423	2
RHOBTB1	1	1	0.078653124	10
RHOBTB2	1	1	0.075855761	8
RHOBTB3	1	1	0.204650945	5
RHOC	1	1	0.201764703	1
RHOD	1	1	0.031101209	11
RHOF	1	1	0.123058521	12
RHOG	1	1	0.133844445	11
RHOH	1	1	0.107660752	4
RHOJ	1	1	0.357902958	14
RHOQ	1	1	0.05286747	2
RHOT1	1	1	0.125299773	17
RHOT2	1	1	0.009867263	16
RHOU	1	1	0.018206922	1
RHOV	1	1	0.191146761	15
RHOXF1	1	1	0.013162562	X
RHOXF2B	1	1	0.137501834	X
RHPN1	1	1	0.058188584	8
RHPN2	1	1	0.01588367	19
RIBC1	1	1	0.19220699	X
RIBC2	1	1	0.558012875	22
RIC8A	1	1	0.512038097	11
RICTOR	1	1	0.07527275	5
RIF1	1	1	0.36144955	2
RIIAD1	1	1	0.04154124	1
RILP	1	1	0.024111286	17
RILPL1	1	1	0.302677266	12
RILPL2	1	1	0.096887222	12
RIMBP2	1	1	0.115720099	12
RIMBP3	1	1	0.252093111	22
RIMBP3B	1	1	0.206050546	22
RIMKLA	1	1	0.025496261	1
RIMKLB	1	1	0.008191673	12
RIMS3	1	1	0.005820429	1
RIMS4	1	1	0.029948959	20
RIN1	1	1	0.008470637	11
RIN2	1	1	0.017224113	20
RIN3	1	1	0.044003529	14
RING1	1	1	0.066447834	6
RINL	1	1	0.076647352	19
RINT1	1	1	0.552851237	7
RIOK1	1	1	0.027876662	6
RIOK2	1	1	0.146974217	5
RIOK3	1	1	0.077248436	18
RIPK1	1	1	0.494045734	6
RIPK2	1	1	0.016562701	8
RIPK3	1	1	0.132983494	14
RIPK4	1	1	0.137468648	21
RIPPLY1	1	1	0.184151506	X
RIPPLY2	1	1	0.514096043	6
RIT1	1	1	0.007765244	1
RIT2	1	1	0.314757155	18
RLBP1	1	1	0.010114259	15
RLF	1	1	0.075582169	1
RLIM	1	1	0.119367726	X
RLN1	1	1	0.031872059	9
RLN2	1	1	0.081288683	9
RLN3	1	1	0.042009474	19
RMDN2	1	1	0.44873392	2
RMI1	1	1	0.335048642	9
RMI2	1	1	0.067482108	16
RMND5A	1	1	0.34836176	2
RNASE1	1	1	0.046555931	14
RNASE10	1	1	0.143584429	14
RNASE11	1	1	0.064666803	14
RNASE12	1	1	0.058755984	14
RNASE13	1	1	0.0901481	14
RNASE2	1	1	0.112076867	14
RNASE3	1	1	0.141223607	14
RNASE4	1	1	0.028251324	14
RNASE6	1	1	0.083362905	14
RNASE7	1	1	0.032042577	14
RNASE8	1	1	0.051531247	14
RNASE9	1	1	0.078582327	14
RNASEH1	1	1	0.154546866	2
RNASEH2A	1	1	0.02382168	19
RNASEH2C	1	1	0.303020789	11
RNASEK	1	1	0.244801939	17
RNASEL	1	1	0.272182033	1
RNASET2	1	1	0.433389916	6
RND1	1	1	0.238245705	12
RND3	1	1	0.356801785	2
RNF10	1	1	0.013243298	12
RNF11	1	1	0.060369063	1
RNF112	1	1	0.273807133	17
RNF113A	1	1	0.028634495	X
RNF113B	1	1	0.008345074	13
RNF114	1	1	0.233475296	20
RNF115	1	1	0.036651197	1
RNF121	1	1	0.017966951	11
RNF123	1	1	0.267709025	3
RNF125	1	1	0.057873413	18
RNF126	1	1	0.459817166	19
RNF13	1	1	0.360723251	3
RNF130	1	1	0.007281548	5
RNF133	1	1	0.056447734	7
RNF135	1	1	0.088334457	17
RNF138	1	1	0.487179705	18
RNF14	1	1	0.102008182	5
RNF141	1	1	0.046468717	11
RNF144A	1	1	0.167072994	2
RNF144B	1	1	0.172143084	6
RNF145	1	1	0.030642639	5
RNF146	1	1	0.050659335	6
RNF148	1	1	0.086730796	7
RNF149	1	1	0.219443081	2
RNF150	1	1	0.025434635	4
RNF152	1	1	0.23465861	18
RNF157	1	1	0.163470257	17
RNF165	1	1	0.046577554	18
RNF166	1	1	0.312247632	16
RNF167	1	1	0.039496905	17
RNF168	1	1	0.061020442	3
RNF169	1	1	0.302474261	11
RNF17	1	1	0.050290552	13
RNF170	1	1	0.021359239	8
RNF175	1	1	0.110378466	4
RNF180	1	1	0.57335227	5
RNF182	1	1	0.049690975	6
RNF183	1	1	0.206239229	9
RNF185	1	1	0.080590587	22
RNF187	1	1	0.053361402	1
RNF19A	1	1	0.008594744	8
RNF19B	1	1	0.125819282	1
RNF2	1	1	0.019425727	1
RNF20	1	1	0.514821034	9
RNF207	1	1	0.018657177	1
RNF208	1	1	0.284719037	9
RNF212	1	1	0.034131059	4
RNF213	1	1	0.014022392	17
RNF215	1	1	0.334719889	22
RNF216	1	1	0.01401829	7
RNF220	1	1	0.27831208	1
RNF24	1	1	0.077431424	20
RNF25	1	1	0.271102186	2
RNF26	1	1	0.318017003	11
RNF31	1	1	0.14478354	14
RNF32	1	1	0.008066992	7
RNF34	1	1	0.20223321	12
RNF38	1	1	0.074344532	9
RNF39	1	1	0.270243509	6
RNF4	1	1	0.110257185	4
RNF40	1	1	0.025289268	16
RNF41	1	1	0.149316731	12
RNF44	1	1	0.051102311	5
RNF5	1	1	0.015534397	6
RNF6	1	1	0.106793601	13
RNF7	1	1	0.048173188	3
RNF8	1	1	0.071498306	6
RNFT1	1	1	0.028841047	17
RNFT2	1	1	0.028326535	12
RNGTT	1	1	0.443911128	6
RNH1	1	1	0.113957722	11
RNLS	1	1	0.376044292	10
RNMTL1	1	1	0.174835104	17
RNPC3	1	1	0.111288847	1
RNPEPL1	1	1	0.040044227	2
RNPS1	1	1	0.049372839	16
ROBO1	1	1	0.393484778	3
ROBO2	1	1	0.434803386	3
ROBO3	1	1	0.033382783	11
ROBO4	1	1	0.058966548	11
ROCK1	1	1	0.246335633	18
ROCK2	1	1	0.42126752	2
ROGDI	1	1	0.178060704	16
ROM1	1	1	0.326597661	11
ROMO1	1	1	0.074576639	20
ROPN1	1	1	0.205692097	3
ROPN1B	1	1	0.009277035	3
ROPN1L	1	1	0.035238508	5
ROR1	1	1	0.049391736	1
ROR2	1	1	0.149974195	9
RORA	1	1	0.464821129	15
RORB	1	1	0.42527994	9
RORC	1	1	0.018215843	1
ROS1	1	1	0.481635004	6
RP1	1	1	0.01614131	8
RP1L1	1	1	0.055447972	8
RP9	1	1	0.331706	7
RPA1	1	1	0.045989541	17
RPA2	1	1	0.434791031	1
RPA3	1	1	0.089104925	7
RPA4	1	1	0.124667186	X
RPAIN	1	1	0.076686136	17
RPAP1	1	1	0.330674957	15
RPAP2	1	1	0.223011257	1
RPAP3	1	1	0.12954522	12
RPE	1	1	0.08028302	2
RPE65	1	1	0.318401827	1
RPF1	1	1	0.660824825	1
RPF2	1	1	0.062248027	6
RPGR	1	1	0.213596839	X
RPGRIP1	1	1	0.118535641	14
RPGRIP1L	1	1	0.10165429	16
RPH3A	1	1	0.127252684	12
RPH3AL	1	1	0.106614234	17
RPIA	1	1	0.146426412	2
RPL10	1	1	0.006856818	X
RPL10A	1	1	0.303725013	6
RPL10L	1	1	0.038693028	14
RPL11	1	1	0.526175173	1
RPL12	1	1	0.433949047	9
RPL13	1	1	0.234145865	16
RPL13A	1	1	0.062249909	19
RPL14	1	1	0.112801468	3
RPL15	1	1	0.360309989	3
RPL17	1	1	0.067420786	18
RPL18A	1	1	0.077031606	19
RPL19	1	1	0.025865234	17
RPL21	1	1	0.297956239	13
RPL22L1	1	1	0.014266719	3
RPL23	1	1	0.04236688	17
RPL23A	1	1	0.04834933	17
RPL24	1	1	0.238248349	3
RPL26	1	1	0.204404446	17
RPL26L1	1	1	0.012584823	5
RPL27	1	1	0.115013139	17
RPL27A	1	1	0.236203501	11
RPL28	1	1	0.084936362	19
RPL29	1	1	0.249049852	3
RPL3	1	1	0.037695641	22
RPL31	1	1	0.320772228	2
RPL32	1	1	0.310880868	3
RPL34	1	1	0.191034498	4
RPL35	1	1	0.121313634	9
RPL35A	1	1	0.029259453	3
RPL36	1	1	0.206400429	19
RPL36A	1	1	0.400430298	X
RPL36AL	1	1	0.08265838	14
RPL37	1	1	0.02799983	5
RPL37A	1	1	0.066984688	2
RPL38	1	1	0.064487577	17
RPL39	1	1	0.028813069	X
RPL39L	1	1	0.030478397	3
RPL3L	1	1	0.066103875	16
RPL4	1	1	0.030961913	15
RPL6	1	1	0.116943403	12
RPL7	1	1	0.017086147	8
RPL7A	1	1	0.049700748	9
RPL7L1	1	1	0.062245719	6
RPL8	1	1	0.031352732	8
RPL9	1	1	0.12293865	4
RPLP0	1	1	0.020970623	12
RPLP1	1	1	0.197503161	15
RPLP2	1	1	0.478203634	11
RPN1	1	1	0.345968659	3
RPN2	1	1	0.015061993	20
RPP14	1	1	0.132668718	3
RPP21	1	1	0.075126156	6
RPP25	1	1	0.364094544	15
RPP25L	1	1	0.107384042	9
RPP30	1	1	0.062833767	10
RPP38	1	1	0.018982481	10
RPRD1A	1	1	0.050034872	18
RPRD1B	1	1	0.212633797	20
RPRM	1	1	0.073522579	2
RPRML	1	1	0.105693619	17
RPS10	1	1	0.095080852	6
RPS11	1	1	0.534736059	19
RPS12	1	1	0.199032535	6
RPS13	1	1	0.626713616	11
RPS14	1	1	0.078236355	5
RPS15	1	1	0.249394929	19
RPS15A	1	1	0.101905638	16
RPS16	1	1	0.121855124	19
RPS18	1	1	0.154899938	6
RPS19	1	1	0.234679942	19
RPS19BP1	1	1	0.262684047	22
RPS2	1	1	0.46402728	16
RPS20	1	1	0.023291711	8
RPS21	1	1	0.107920146	20
RPS23	1	1	0.142469449	5
RPS24	1	1	0.079748367	10
RPS25	1	1	0.183421001	11
RPS26	1	1	0.053101533	12
RPS27	1	1	0.039100444	1
RPS27A	1	1	0.104651445	2
RPS27L	1	1	0.232497873	15
RPS28	1	1	0.42714214	19
RPS29	1	1	0.106459616	14
RPS3	1	1	0.015494298	11
RPS3A	1	1	0.219722778	4
RPS4X	1	1	0.056527996	X
RPS4Y1	1	1	0.294891234	Y
RPS4Y2	1	1	0.217557334	Y
RPS5	1	1	0.064338839	19
RPS6	1	1	0.333711631	9
RPS6KA1	1	1	0.251641943	1
RPS6KA2	1	1	0.189912408	6
RPS6KA4	1	1	0.432141359	11
RPS6KA5	1	1	0.115753051	14
RPS6KA6	1	1	0.39912341	X
RPS6KB2	1	1	0.022417866	11
RPS6KL1	1	1	0.146245622	14
RPS7	1	1	0.0357595	2
RPS8	1	1	0.027707557	1
RPS9	1	1	0.064847949	19
RPSA	1	1	0.118344333	3
RPTOR	1	1	0.029958618	17
RPUSD1	1	1	0.050374111	16
RPUSD2	1	1	0.517881961	15
RPUSD3	1	1	0.038885178	3
RPUSD4	1	1	0.315900047	11
RQCD1	1	1	0.195197015	2
RRAD	1	1	0.137798923	16
RRAGA	1	1	0.048271024	9
RRAGB	1	1	0.095659333	X
RRAGC	1	1	0.352967178	1
RRAGD	1	1	0.389949773	6
RRAS	1	1	0.399447752	19
RRAS2	1	1	0.200160013	11
RRBP1	1	1	0.183735443	20
RREB1	1	1	0.018677633	6
RRH	1	1	0.303002636	4
RRM1	1	1	0.115213371	11
RRM2	1	1	0.152050212	2
RRM2B	1	1	0.005292726	8
RRN3	1	1	0.052513988	16
RRNAD1	1	1	0.190034618	1
RRP1	1	1	0.202829057	21
RRP12	1	1	0.203559934	10
RRP15	1	1	0.025416374	1
RRP1B	1	1	0.012517199	21
RRP36	1	1	0.050987957	6
RRP7A	1	1	0.228997481	22
RRP8	1	1	0.339446781	11
RRP9	1	1	0.109807844	3
RRS1	1	1	0.113409558	8
RS1	1	1	0.361952345	X
RSAD1	1	1	0.358278969	17
RSAD2	1	1	0.016042471	2
RSBN1	1	1	0.026235155	1
RSBN1L	1	1	0.061849793	7
RSC1A1	1	1	0.287317234	1
RSF1	1	1	0.066470237	11
RSG1	1	1	0.253938404	1
RSL1D1	1	1	0.1360575	16
RSL24D1	1	1	0.148634229	15
RSPH1	1	1	0.109454241	21
RSPH10B	1	1	0.020220688	7
RSPH3	1	1	0.619278517	6
